구직신청번호,성별,나이,학력공통코드,학력공통코드명,희망근무지역(시도)_1,희망근무지역명(시군구)_1,희망근무지역명(시도)_2,희망근무지역명(시군구)_2,희망직종공통코드,희망직종공통코드명,희망직종경력년수,희망직종경력개월수,희망직종경력년_월수,구직인증상태공통구분,구직인증상태공통구분명,검색키워드1,검색키워드2,검색키워드3,검색키워드4,검색키워드5,등록일시,수정일시
H319202107052248,남,62,J00108,전문대학,서울,양천구,서울,영등포구,542002,건물 경비원(청사학교병원상가빌딩공장 등),0,5,0년5월,J03404,알선,,,,,,27:45.0,27:49.0
H304202107052247,남,63,J00110,대학_대학교,서울,,,,542002,건물 경비원(청사학교병원상가빌딩공장 등),3,0,3년0월,J03402,승인,,,,,,23:16.0,23:20.0
H323202107052246,여,72,J00102,초등학교,서울,강남구,서울,,561100,청소원,4,0,4년0월,J03402,승인,,,,,,22:46.0,22:49.0
H302202107052245,남,65,J00106,고등학교,서울,중구,서울,,542000,경비원(건물 관리원),2,0,2년0월,J03402,승인,,,,,,22:35.0,22:38.0
H118202107052244,여,62,J00102,초등학교,서울,동작구,서울,,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03404,알선,,,,,,21:41.0,21:45.0
H320202107052243,여,65,J00102,초등학교,서울,영등포구,서울,,561100,청소원,2,0,2년0월,J03404,알선,청소원,,,,,21:09.0,21:12.0
H305202107052206,여,69,J00104,중학교,서울,광진구,,,550104,재가 요양보호사,14,0,14년0월,J03404,알선,,,,,,15:37.0,15:42.0
H001202107052205,남,23,J00106,고등학교,서울,영등포구,서울,구로구,524001,오락시설 서비스원(노래방 PC방 등),,,신입,J03402,승인,,,,,,14:40.0,22:03.0
H315202107052204,여,65,J00102,초등학교,서울,양천구,서울,영등포구,561100,청소원,10,0,10년0월,J03402,승인,,,,,,14:21.0,14:25.0
H317202107052202,남,62,J00110,대학_대학교,서울,구로구,서울,금천구,140302,토목구조 설계 기술자,35,0,35년0월,J03402,승인,,,,,,12:45.0,12:50.0
H310202107052201,여,67,J00104,중학교,서울,도봉구,서울,강북구,550104,재가 요양보호사,5,0,5년0월,J03404,알선,,,,,,11:24.0,11:27.0
H117202107052156,남,72,J00106,고등학교,서울,강동구,서울,,542001,아파트?빌라 경비원,10,0,10년0월,J03402,승인,,,,,,06:18.0,06:21.0
H318202107052155,여,68,J00106,고등학교,서울,금천구,,,561100,청소원,2,0,2년0월,J03404,알선,,,,,,04:46.0,04:50.0
H324202107052154,남,60,J00110,대학_대학교,서울,강남구,서울,송파구,542002,건물 경비원(청사학교병원상가빌딩공장 등),0,6,0년6월,J03404,알선,,,,,,04:42.0,04:47.0
H324202107052153,여,60,J00106,고등학교,서울,송파구,서울,강동구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),1,0,1년0월,J03404,알선,,,,,,01:55.0,01:59.0
H310202107052104,여,55,J00106,고등학교,서울,도봉구,서울,강북구,550104,재가 요양보호사,2,0,2년0월,J03404,알선,요양보호사,,,,,59:26.0,59:29.0
H315202107052103,여,74,J00104,중학교,서울,양천구,서울,강서구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),,,신입,J03402,승인,,,,,,59:14.0,59:18.0
H311202107052102,남,65,J00106,고등학교,서울,노원구,서울,중랑구,542004,기타 건물 관리원(공원 종교시설 등),,,신입,J03402,승인,,,,,,58:16.0,58:20.0
H001202107052101,남,25,J00108,전문대학,서울,,경기,,623004,지게차 운전원,,,신입,J03402,승인,,,,,,57:16.0,15:43.0
H319202107052100,남,55,J00110,대학_대학교,서울,영등포구,서울,,624103,배송?납품 운전원(납품영업 포함),,,신입,J03402,승인,,,,,,55:41.0,55:46.0
H316202107052099,여,67,J00106,고등학교,서울,강서구,서울,,550103,시설 요양보호사(노인요양사),1,0,1년0월,J03402,승인,,,,,,55:13.0,55:17.0
H121202107052098,남,70,J00104,중학교,서울,중랑구,서울,,901500,조경원,,,신입,J03402,승인,,,,,,55:12.0,55:12.0
H311202107052097,남,71,J00104,중학교,서울,노원구,서울,,622202,관광 및 통근?통학?학원 및 기타 버스 운전원,1,0,1년0월,J03402,승인,,,,,,52:50.0,52:54.0
H323202107052090,남,50,J00106,고등학교,서울,강남구,서울,서초구,834002,빌딩 전기관리원,2,0,2년0월,J03402,승인,,,,,,50:16.0,50:19.0
H317202107052061,남,71,J00106,고등학교,서울,구로구,경기,광명시,542001,아파트?빌라 경비원,8,0,8년0월,J03404,알선,경비신임교육,,,,,49:17.0,49:21.0
H317202107052060,여,55,J00106,고등학교,서울,영등포구,서울,구로구,561101,건물 청소원(공공건물아파트사무실병원상가공장 등),1,0,1년0월,J03404,알선,,,,,,48:34.0,48:39.0
H119202107052059,남,66,J00106,고등학교,,,,,542000,경비원(건물 관리원),0,7,0년7월,J03404,알선,,,,,,47:20.0,47:25.0
H306202107052058,여,57,J00106,고등학교,서울,동대문구,서울,,550104,재가 요양보호사,,,신입,J03402,승인,,,,,,46:58.0,47:03.0
